category,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,total_absolute_error,total_correctly_identified_names,total_ground_truth_names,accuracy,feature_name_matching_rate,hallucination_rate,mae,Model,Experiment
easy,85,115,11,111,56,53,67,73.91304347826086,79.1044776119403,9.90990990990991,0.835820895522388,GPT-4o,Exp_1_Basic_Prompts
hard,199,448,48,253,303,73,121,44.419642857142854,60.33057851239669,18.972332015810274,2.5041322314049586,GPT-4o,Exp_1_Basic_Prompts
medium,142,241,17,162,119,65,104,58.921161825726145,62.5,10.493827160493826,1.1442307692307692,GPT-4o,Exp_1_Basic_Prompts
overall,426,804,76,526,478,191,292,52.98507462686567,65.41095890410958,14.44866920152091,4.78,GPT-4o,Exp_1_Basic_Prompts
easy,82,115,13,110,61,50,67,71.30434782608695,74.6268656716418,11.818181818181818,0.9104477611940298,GPT-4o,Exp_2_Improved_Prompts
hard,221,448,27,256,262,79,121,49.330357142857146,65.28925619834712,10.546875,2.165289256198347,GPT-4o,Exp_2_Improved_Prompts
medium,141,241,13,157,116,65,104,58.50622406639005,62.5,8.280254777070063,1.1153846153846154,GPT-4o,Exp_2_Improved_Prompts
overall,444,804,53,523,439,194,292,55.223880597014926,66.43835616438356,10.133843212237094,4.39,GPT-4o,Exp_2_Improved_Prompts
easy,86,115,11,111,54,52,67,74.78260869565217,77.61194029850746,9.90990990990991,0.8059701492537313,GPT-4o,Exp_3_Multi_View
hard,238,448,27,280,252,80,121,53.125,66.11570247933885,9.642857142857144,2.0826446280991737,GPT-4o,Exp_3_Multi_View
medium,163,241,17,190,105,71,104,67.63485477178423,68.26923076923077,8.947368421052632,1.0096153846153846,GPT-4o,Exp_3_Multi_View
overall,487,804,55,581,411,203,292,60.57213930348259,69.52054794520548,9.46643717728055,4.11,GPT-4o,Exp_3_Multi_View
easy,88,115,10,111,50,55,67,76.52173913043478,82.08955223880598,9.00900900900901,0.746268656716418,GPT-4o,Exp_4a_Multi_View_Few_Shot
hard,199,448,21,235,285,71,121,44.419642857142854,58.67768595041323,8.936170212765958,2.355371900826446,GPT-4o,Exp_4a_Multi_View_Few_Shot
medium,152,241,14,168,105,64,104,63.07053941908713,61.53846153846154,8.333333333333332,1.0096153846153846,GPT-4o,Exp_4a_Multi_View_Few_Shot
overall,439,804,45,514,440,190,292,54.60199004975125,65.06849315068493,8.754863813229571,4.4,GPT-4o,Exp_4a_Multi_View_Few_Shot
easy,85,115,13,102,47,52,67,73.91304347826086,77.61194029850746,12.745098039215685,0.7014925373134329,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
hard,243,448,33,286,248,87,121,54.24107142857143,71.900826446281,11.538461538461538,2.049586776859504,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
medium,161,241,19,188,107,70,104,66.80497925311202,67.3076923076923,10.106382978723403,1.0288461538461537,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
overall,489,804,65,576,402,209,292,60.820895522388064,71.57534246575342,11.284722222222223,4.02,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
easy,89,115,11,115,52,55,67,77.39130434782608,82.08955223880598,9.565217391304348,0.7761194029850746,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
hard,222,448,27,257,261,86,121,49.55357142857143,71.07438016528926,10.505836575875486,2.15702479338843,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
medium,166,241,15,188,97,77,104,68.87966804979253,74.03846153846155,7.9787234042553195,0.9326923076923077,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
overall,477,804,53,560,410,218,292,59.32835820895522,74.65753424657534,9.464285714285714,4.1,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
easy,75,115,56,137,102,47,67,65.21739130434783,70.1492537313433,40.87591240875913,1.5223880597014925,Claude-3.5,Exp_1_Basic_Prompts
hard,250,448,69,333,281,86,121,55.80357142857143,71.07438016528926,20.72072072072072,2.322314049586777,Claude-3.5,Exp_1_Basic_Prompts
medium,161,241,48,219,138,71,104,66.80497925311202,68.26923076923077,21.91780821917808,1.3269230769230769,Claude-3.5,Exp_1_Basic_Prompts
overall,486,804,173,689,521,204,292,60.447761194029844,69.86301369863014,25.1088534107402,5.21,Claude-3.5,Exp_1_Basic_Prompts
easy,78,115,26,111,70,50,67,67.82608695652173,74.6268656716418,23.423423423423422,1.044776119402985,Claude-3.5,Exp_2_Improved_Prompts
hard,256,448,28,300,236,92,121,57.14285714285714,76.03305785123968,9.333333333333334,1.9504132231404958,Claude-3.5,Exp_2_Improved_Prompts
medium,140,241,40,190,151,58,104,58.09128630705395,55.769230769230774,21.052631578947366,1.4519230769230769,Claude-3.5,Exp_2_Improved_Prompts
overall,474,804,94,601,457,200,292,58.95522388059702,68.4931506849315,15.640599001663894,4.57,Claude-3.5,Exp_2_Improved_Prompts
easy,83,115,26,116,65,50,67,72.17391304347827,74.6268656716418,22.413793103448278,0.9701492537313433,Claude-3.5,Exp_3_Multi_View
hard,341,448,27,375,141,93,121,76.11607142857143,76.85950413223141,7.199999999999999,1.165289256198347,Claude-3.5,Exp_3_Multi_View
medium,167,241,36,220,127,71,104,69.29460580912863,68.26923076923077,16.363636363636363,1.2211538461538463,Claude-3.5,Exp_3_Multi_View
overall,591,804,89,711,333,214,292,73.50746268656717,73.28767123287672,12.517580872011253,3.33,Claude-3.5,Exp_3_Multi_View
easy,75,115,37,119,84,46,67,65.21739130434783,68.65671641791045,31.092436974789916,1.2537313432835822,Claude-3.5,Exp_4a_Multi_View_Few_Shot
hard,304,448,33,342,182,86,121,67.85714285714286,71.07438016528926,9.649122807017543,1.5041322314049588,Claude-3.5,Exp_4a_Multi_View_Few_Shot
medium,164,241,48,225,138,68,104,68.04979253112033,65.38461538461539,21.333333333333336,1.3269230769230769,Claude-3.5,Exp_4a_Multi_View_Few_Shot
overall,543,804,118,686,404,200,292,67.53731343283582,68.4931506849315,17.20116618075802,4.04,Claude-3.5,Exp_4a_Multi_View_Few_Shot
easy,86,115,36,134,77,51,67,74.78260869565217,76.11940298507463,26.865671641791046,1.1492537313432836,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
hard,321,448,29,364,170,92,121,71.65178571428571,76.03305785123968,7.967032967032966,1.4049586776859504,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
medium,179,241,36,230,113,77,104,74.27385892116183,74.03846153846155,15.65217391304348,1.0865384615384615,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
overall,586,804,101,728,360,220,292,72.88557213930348,75.34246575342466,13.873626373626374,3.6,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
easy,81,115,38,128,81,46,67,70.43478260869566,68.65671641791045,29.6875,1.208955223880597,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
hard,323,448,27,363,165,92,121,72.09821428571429,76.03305785123968,7.43801652892562,1.3636363636363635,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
medium,169,241,48,234,137,77,104,70.12448132780082,74.03846153846155,20.51282051282051,1.3173076923076923,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
overall,573,804,113,725,383,215,292,71.26865671641791,73.63013698630137,15.586206896551724,3.83,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
easy,59,115,25,95,92,33,67,51.30434782608696,49.25373134328358,26.31578947368421,1.373134328358209,Claude-3,Exp_1_Basic_Prompts
hard,113,448,26,154,376,47,121,25.223214285714285,38.84297520661157,16.883116883116884,3.1074380165289255,Claude-3,Exp_1_Basic_Prompts
medium,93,241,22,127,182,40,104,38.589211618257266,38.46153846153847,17.322834645669293,1.75,Claude-3,Exp_1_Basic_Prompts
overall,265,804,73,376,650,120,292,32.960199004975124,41.0958904109589,19.414893617021274,6.5,Claude-3,Exp_1_Basic_Prompts
easy,47,115,30,100,121,26,67,40.869565217391305,38.80597014925373,30.0,1.8059701492537314,Claude-3,Exp_2_Improved_Prompts
hard,108,448,33,214,446,45,121,24.107142857142858,37.1900826446281,15.42056074766355,3.6859504132231407,Claude-3,Exp_2_Improved_Prompts
medium,88,241,24,118,183,35,104,36.51452282157676,33.65384615384615,20.33898305084746,1.7596153846153846,Claude-3,Exp_2_Improved_Prompts
overall,243,804,87,432,750,106,292,30.223880597014922,36.3013698630137,20.13888888888889,7.5,Claude-3,Exp_2_Improved_Prompts
easy,58,115,21,104,103,30,67,50.43478260869565,44.776119402985074,20.192307692307693,1.537313432835821,Claude-3,Exp_3_Multi_View
hard,116,448,7,147,363,48,121,25.892857142857146,39.66942148760331,4.761904761904762,3.0,Claude-3,Exp_3_Multi_View
medium,86,241,14,112,181,31,104,35.684647302904565,29.807692307692307,12.5,1.7403846153846154,Claude-3,Exp_3_Multi_View
overall,260,804,42,363,647,109,292,32.33830845771145,37.32876712328767,11.570247933884298,6.47,Claude-3,Exp_3_Multi_View
easy,54,115,23,108,115,25,67,46.95652173913044,37.3134328358209,21.296296296296298,1.7164179104477613,Claude-3,Exp_4a_Multi_View_Few_Shot
hard,159,448,8,217,347,56,121,35.49107142857143,46.28099173553719,3.686635944700461,2.8677685950413223,Claude-3,Exp_4a_Multi_View_Few_Shot
medium,101,241,34,152,191,31,104,41.90871369294606,29.807692307692307,22.36842105263158,1.8365384615384615,Claude-3,Exp_4a_Multi_View_Few_Shot
overall,314,804,65,477,653,112,292,39.0547263681592,38.35616438356164,13.626834381551362,6.53,Claude-3,Exp_4a_Multi_View_Few_Shot
easy,57,115,28,113,114,27,67,49.56521739130435,40.298507462686565,24.778761061946902,1.7014925373134329,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
hard,124,448,23,191,391,50,121,27.67857142857143,41.32231404958678,12.041884816753926,3.231404958677686,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
medium,101,241,16,134,173,34,104,41.90871369294606,32.69230769230769,11.940298507462686,1.6634615384615385,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
overall,282,804,67,438,678,111,292,35.07462686567165,38.013698630136986,15.296803652968036,6.78,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
easy,55,115,32,125,130,26,67,47.82608695652174,38.80597014925373,25.6,1.9402985074626866,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
hard,154,448,30,308,448,53,121,34.375,43.80165289256198,9.740259740259742,3.7024793388429753,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
medium,107,241,37,183,210,36,104,44.398340248962654,34.61538461538461,20.21857923497268,2.019230769230769,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
overall,316,804,99,616,788,115,292,39.30348258706468,39.38356164383562,16.071428571428573,7.88,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
easy,39,115,43,122,159,27,67,33.91304347826087,40.298507462686565,35.24590163934426,2.373134328358209,MiniCPM,Exp_1_Basic_Prompts
hard,82,448,35,129,413,36,121,18.303571428571427,29.75206611570248,27.131782945736433,3.4132231404958677,MiniCPM,Exp_1_Basic_Prompts
medium,74,241,35,113,206,36,104,30.70539419087137,34.61538461538461,30.973451327433626,1.9807692307692308,MiniCPM,Exp_1_Basic_Prompts
overall,195,804,113,364,778,99,292,24.253731343283583,33.9041095890411,31.043956043956044,7.78,MiniCPM,Exp_1_Basic_Prompts
easy,36,115,51,99,142,27,67,31.30434782608696,40.298507462686565,51.515151515151516,2.1194029850746268,MiniCPM,Exp_2_Improved_Prompts
hard,76,448,40,128,424,36,121,16.964285714285715,29.75206611570248,31.25,3.5041322314049586,MiniCPM,Exp_2_Improved_Prompts
medium,75,241,35,115,206,36,104,31.12033195020747,34.61538461538461,30.434782608695656,1.9807692307692308,MiniCPM,Exp_2_Improved_Prompts
overall,187,804,126,342,772,99,292,23.258706467661693,33.9041095890411,36.84210526315789,7.72,MiniCPM,Exp_2_Improved_Prompts
easy,55,115,61,131,136,29,67,47.82608695652174,43.28358208955223,46.56488549618321,2.029850746268657,MiniCPM,Exp_3_Multi_View
hard,102,448,51,179,423,40,121,22.767857142857142,33.057851239669425,28.49162011173184,3.4958677685950414,MiniCPM,Exp_3_Multi_View
medium,89,241,56,165,228,37,104,36.92946058091287,35.57692307692308,33.939393939393945,2.1923076923076925,MiniCPM,Exp_3_Multi_View
overall,246,804,168,475,787,106,292,30.597014925373134,36.3013698630137,35.368421052631575,7.87,MiniCPM,Exp_3_Multi_View
easy,60,115,99,177,172,37,67,52.17391304347826,55.223880597014926,55.932203389830505,2.5671641791044775,MiniCPM,Exp_4a_Multi_View_Few_Shot
hard,122,448,122,265,469,52,121,27.232142857142854,42.97520661157025,46.0377358490566,3.87603305785124,MiniCPM,Exp_4a_Multi_View_Few_Shot
medium,84,241,109,217,290,41,104,34.85477178423236,39.42307692307692,50.23041474654379,2.7884615384615383,MiniCPM,Exp_4a_Multi_View_Few_Shot
overall,266,804,330,659,931,130,292,33.08457711442786,44.52054794520548,50.07587253414264,9.31,MiniCPM,Exp_4a_Multi_View_Few_Shot
easy,50,115,64,132,147,27,67,43.47826086956522,40.298507462686565,48.484848484848484,2.1940298507462686,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
hard,111,448,70,209,435,46,121,24.776785714285715,38.01652892561984,33.49282296650718,3.5950413223140494,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
medium,97,241,72,195,242,41,104,40.24896265560166,39.42307692307692,36.92307692307693,2.326923076923077,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
overall,258,804,206,536,824,114,292,32.08955223880597,39.04109589041096,38.43283582089552,8.24,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
easy,56,115,124,197,200,41,67,48.69565217391305,61.19402985074627,62.944162436548226,2.985074626865672,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
hard,99,448,147,267,517,59,121,22.098214285714285,48.760330578512395,55.0561797752809,4.2727272727272725,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
medium,116,241,154,287,296,71,104,48.13278008298755,68.26923076923077,53.65853658536586,2.8461538461538463,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
overall,271,804,425,751,1013,171,292,33.70646766169154,58.56164383561644,56.59121171770972,10.13,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
easy,26,115,23,49,112,23,67,22.608695652173914,34.32835820895522,46.93877551020408,1.671641791044776,Llava_v1_6_mistral_7b,Exp_1_Basic_Prompts
hard,59,448,11,73,403,37,121,13.169642857142858,30.57851239669421,15.068493150684931,3.330578512396694,Llava_v1_6_mistral_7b,Exp_1_Basic_Prompts
medium,51,241,13,66,205,37,104,21.16182572614108,35.57692307692308,19.696969696969695,1.9711538461538463,Llava_v1_6_mistral_7b,Exp_1_Basic_Prompts
overall,136,804,47,188,720,97,292,16.91542288557214,33.21917808219178,25.0,7.2,Llava_v1_6_mistral_7b,Exp_1_Basic_Prompts
easy,29,115,47,76,133,28,67,25.217391304347824,41.7910447761194,61.8421052631579,1.9850746268656716,Llava_v1_6_mistral_7b,Exp_2_Improved_Prompts
hard,53,448,56,109,451,50,121,11.830357142857142,41.32231404958678,51.37614678899083,3.727272727272727,Llava_v1_6_mistral_7b,Exp_2_Improved_Prompts
medium,71,241,44,115,214,53,104,29.460580912863072,50.96153846153846,38.26086956521739,2.0576923076923075,Llava_v1_6_mistral_7b,Exp_2_Improved_Prompts
overall,153,804,147,300,798,131,292,19.029850746268657,44.86301369863014,49.0,7.98,Llava_v1_6_mistral_7b,Exp_2_Improved_Prompts
easy,54,115,97,164,171,43,67,46.95652173913044,64.17910447761194,59.14634146341463,2.5522388059701493,Llava_v1_6_mistral_7b,Exp_3_Multi_View
hard,89,448,104,198,468,58,121,19.866071428571427,47.93388429752066,52.52525252525253,3.8677685950413223,Llava_v1_6_mistral_7b,Exp_3_Multi_View
medium,88,241,75,170,235,67,104,36.51452282157676,64.42307692307693,44.11764705882353,2.2596153846153846,Llava_v1_6_mistral_7b,Exp_3_Multi_View
overall,231,804,276,532,874,168,292,28.73134328358209,57.534246575342465,51.8796992481203,8.74,Llava_v1_6_mistral_7b,Exp_3_Multi_View
easy,10,115,33,45,140,7,67,8.695652173913043,10.44776119402985,73.33333333333333,2.08955223880597,Llava_v1_6_mistral_7b,Exp_4a_Multi_View_Few_Shot
hard,24,448,26,51,451,13,121,5.357142857142857,10.743801652892563,50.98039215686274,3.727272727272727,Llava_v1_6_mistral_7b,Exp_4a_Multi_View_Few_Shot
medium,25,241,23,54,245,17,104,10.37344398340249,16.346153846153847,42.592592592592595,2.355769230769231,Llava_v1_6_mistral_7b,Exp_4a_Multi_View_Few_Shot
overall,59,804,82,150,836,37,292,7.338308457711443,12.67123287671233,54.666666666666664,8.36,Llava_v1_6_mistral_7b,Exp_4a_Multi_View_Few_Shot
easy,43,115,73,129,158,36,67,37.391304347826086,53.73134328358209,56.58914728682171,2.3582089552238807,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
hard,89,448,148,241,511,71,121,19.866071428571427,58.67768595041323,61.41078838174274,4.223140495867769,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
medium,86,241,86,179,248,69,104,35.684647302904565,66.34615384615384,48.04469273743017,2.3846153846153846,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
overall,218,804,307,549,917,176,292,27.114427860696516,60.273972602739725,55.919854280510016,9.17,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
easy,14,115,162,180,267,11,67,12.173913043478262,16.417910447761194,90.0,3.985074626865672,Llava_v1_6_mistral_7b,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
hard,35,448,174,210,588,22,121,7.8125,18.181818181818183,82.85714285714286,4.859504132231405,Llava_v1_6_mistral_7b,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
medium,31,241,131,171,350,23,104,12.863070539419086,22.115384615384613,76.60818713450293,3.3653846153846154,Llava_v1_6_mistral_7b,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
overall,80,804,467,561,1205,56,292,9.950248756218906,19.17808219178082,83.24420677361853,12.05,Llava_v1_6_mistral_7b,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
